datetime,keyword,trend_index
Dec 2011,Johnny Depp,6
Mar 2021,Drake,23
Mar 2014,Cristiano Ronaldo,32
Sep 2013,Amber Heard,2
Jan 2012,Johnny Depp,9
Apr 2021,Drake,20
Apr 2014,Cristiano Ronaldo,41
Oct 2013,Amber Heard,2
May 2021,Drake,22
Feb 2012,Johnny Depp,7
May 2014,Cristiano Ronaldo,48
Jun 2021,Drake,26
Nov 2013,Amber Heard,2
Mar 2012,Johnny Depp,7
Jul 2021,Drake,26
Jun 2014,Cristiano Ronaldo,80
Dec 2013,Amber Heard,2
Apr 2012,Johnny Depp,8
Aug 2021,Drake,24
Jul 2014,Cristiano Ronaldo,43
Sep 2021,Drake,39
Jan 2014,Amber Heard,6
Aug 2014,Cristiano Ronaldo,36
May 2012,Johnny Depp,10
Oct 2021,Drake,24
Nov 2021,Drake,22
Sep 2014,Cristiano Ronaldo,32
Feb 2014,Amber Heard,4
Dec 2021,Drake,22
Jun 2012,Johnny Depp,13
Oct 2014,Cristiano Ronaldo,35
Mar 2014,Amber Heard,3
Jan 2022,Drake,26
Jul 2012,Johnny Depp,9
Nov 2014,Cristiano Ronaldo,34
Feb 2022,Drake,23
Aug 2012,Johnny Depp,8
Apr 2014,Amber Heard,4
Dec 2014,Cristiano Ronaldo,35
Mar 2022,Drake,21
Jan 2015,Cristiano Ronaldo,51
Sep 2012,Johnny Depp,8
May 2014,Amber Heard,3
Apr 2022,Drake,21
Feb 2015,Cristiano Ronaldo,33
May 2022,Drake,20
Oct 2012,Johnny Depp,13
Jun 2014,Amber Heard,3
Mar 2015,Cristiano Ronaldo,30
Jun 2022,Drake,25
Nov 2012,Johnny Depp,6
Jul 2022,Drake,22
Apr 2015,Cristiano Ronaldo,32
Jul 2014,Amber Heard,2
Aug 2022,Drake,22
May 2015,Cristiano Ronaldo,36
Dec 2012,Johnny Depp,7
Aug 2014,Amber Heard,2
Sep 2022,Drake,20
Jun 2015,Cristiano Ronaldo,34
Jan 2013,Johnny Depp,7
Sep 2014,Amber Heard,5
Oct 2022,Drake,22
Jul 2015,Cristiano Ronaldo,29
Feb 2013,Johnny Depp,7
Nov 2022,Drake,30
Oct 2014,Amber Heard,3
Aug 2015,Cristiano Ronaldo,31
Mar 2013,Johnny Depp,7
Dec 2022,Drake,23
Sep 2015,Cristiano Ronaldo,28
Nov 2014,Amber Heard,2
Apr 2013,Johnny Depp,6
Jan 2023,Drake,22
Oct 2015,Cristiano Ronaldo,29
Dec 2014,Amber Heard,2
Feb 2023,Drake,23
May 2013,Johnny Depp,6
Nov 2015,Cristiano Ronaldo,31
Mar 2023,Drake,27
Jan 2015,Amber Heard,2
